p.value	odds_ratio	overlap	adj_p.value	genes
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs) R-HSA-381426	8.31410579513419e-06	9.5298847928911	8/44	0.0220656367802861	PLG;CDH2;IGF1;IGF2;PAPPA;IGFBP4;PAPPA2;IGFBP5
Activation of the TFAP2 (AP-2) family of transcription factors R-HSA-8866907	0.000269868705836287	40.8092467567437	3/6	0.122619594520039	TFAP2A;WWOX;TFAP2C
CDC42 GTPase cycle R-HSA-9013148	0.000262020957824106	5.4999525269064	8/70	0.122619594520039	CDC42;TRIO;SPATA13;IQGAP2;WDR81;FGD4;SH3PXD2A;ARHGAP20
Calcitonin-like ligand receptors R-HSA-419812	0.000137377080051435	61.2232991486867	3/5	0.122619594520039	IAPP;RAMP1;CALCB
Negative regulation of activity of TFAP2 (AP-2) family transcription factors R-HSA-8866904	0.000269868705836287	40.8092467567437	3/6	0.122619594520039	TFAP2A;WWOX;TFAP2C
Signaling by Receptor Tyrosine Kinases R-HSA-9006934	0.000277210839156079	2.8033450231856	19/327	0.122619594520039	BRAF;NRAS;PLG;MAPK12;WWOX;CDC42;RICTOR;CTNND1;PTK2;MUC20;PTK2B;ERBB3;LAMA5;SPRED2;PTPN3;SGK1;IGF1;IGF2;INSR
Recycling of bile acids and salts R-HSA-159418	0.000463881331706973	30.6557453748406	3/7	0.153892631793788	ABCB11;SLC10A1;SLCO1A2
SHC-related events triggered by IGF1R R-HSA-2428933	0.000463881331706973	30.6557453748406	3/7	0.153892631793788	NRAS;IGF1;IGF2
Amino acid transport across the plasma membrane R-HSA-352230	0.00150736334684287	17.5316122130943	3/10	0.306795134903781	SLC16A10;SLC38A2;SLC7A2
DCC mediated attractive signaling R-HSA-418885	0.0010741753374763	20.4497127461886	3/9	0.306795134903781	CDC42;PTK2;TRIO
Invadopodia formation R-HSA-8941237	0.00175171447033106	80.6553629728127	2/3	0.306795134903781	ADAM19;SH3PXD2A
Negative regulation of MAPK pathway R-HSA-5675221	0.00146842670184619	9.71161537000294	4/21	0.306795134903781	BRAF;NRAS;MAPK12;PTPN3
Peptide hormone metabolism R-HSA-2980736	0.00143976521447006	6.93227577095248	5/35	0.306795134903781	BCHE;IGF1;ANPEP;PCSK1;REN
TFAP2 (AP-2) family regulates transcription of other transcription factors R-HSA-8866906	0.00175171447033106	80.6553629728127	2/3	0.306795134903781	TFAP2A;TFAP2C
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors R-HSA-8864260	0.00146842670184619	9.71161537000294	4/21	0.306795134903781	TFAP2A;WWOX;TFAP2C;MYBL2
VEGFA-VEGFR2 Pathway R-HSA-4420097	0.00184955620137924	4.46836136160468	7/73	0.306795134903781	NRAS;MAPK12;CDC42;RICTOR;CTNND1;PTK2;PTK2B
Synthesis, secretion, and deacylation of Ghrelin R-HSA-422085	0.00203596225019115	15.3336885744767	3/11	0.31784963600043	BCHE;IGF1;PCSK1
Signaling by VEGF R-HSA-194138	0.00233762214372421	4.27092082723106	7/76	0.344669398302447	NRAS;MAPK12;CDC42;RICTOR;CTNND1;PTK2;PTK2B
Bile acid and bile salt metabolism R-HSA-194068	0.0034054532240655	12.268089858966	3/13	0.397809478827686	ABCB11;SLC10A1;SLCO1A2
Metabolism of ingested SeMet, Sec, MeSec into H2Se R-HSA-2408508	0.00344748229579381	40.4067700995884	2/4	0.397809478827686	MAT1A;AHCY
SUMOylation of transcription factors R-HSA-3232118	0.0034054532240655	12.268089858966	3/13	0.397809478827686	MDM2;TFAP2A;TFAP2C
TFAP2 (AP-2) family regulates transcription of cell cycle factors R-HSA-8866911	0.00344748229579381	40.4067700995884	2/4	0.397809478827686	TFAP2A;TFAP2C
TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation R-HSA-8869496	0.00344748229579381	40.4067700995884	2/4	0.397809478827686	TFAP2A;MYBL2
Sulfur amino acid metabolism R-HSA-1614635	0.00425779160327442	11.1545494594293	3/14	0.470840788128763	MAT1A;AHCY;MTAP
RAS signaling downstream of NF1 loss-of-function variants R-HSA-6802953	0.00565421910628873	26.9780217006592	2/5	0.600251900323612	NRAS;SPRED2
Regulation of TP53 Degradation R-HSA-6804757	0.00718071824230023	5.88400580372864	4/32	0.732985623656339	MDM2;RICTOR;SGK1;CCNG1
Myogenesis R-HSA-525793	0.00889108271764254	8.17577694993899	3/18	0.786564451087443	MAPK12;CDC42;CDH2
Netrin-1 signaling R-HSA-373752	0.00889108271764254	8.17577694993899	3/18	0.786564451087443	CDC42;PTK2;TRIO
Regulation of CDH11 function R-HSA-9762292	0.00834639430651493	20.249508512106	2/6	0.786564451087443	ADAM19;CTNND1
Regulation of TP53 Expression and Degradation R-HSA-6806003	0.00802024290823487	5.67998511081296	4/33	0.786564451087443	MDM2;RICTOR;SGK1;CCNG1
SLC-mediated transmembrane transport R-HSA-425407	0.00953088687487151	3.62160900079453	6/75	0.815966895674483	SLC16A10;SLC38A2;SLC7A2;SLC4A7;SLCO1A2;SLC13A5
Metabolism of Angiotensinogen to Angiotensins R-HSA-2022377	0.0114993994964381	16.2062213577518	2/7	0.897629595986668	ANPEP;REN
