p.value	odds_ratio	overlap	adj_p.value	genes
Formation of definitive endoderm R-HSA-9823730	5.12936058997056e-08	59.2651197406296	6/10	0.000136133230057819	CTNNB1;SMAD4;CXCR4;TCF7L2;SMAD3;FOXA2
Sensory perception of salty taste R-HSA-9730628	4.29595760617017e-07	Inf	4/4	0.000570073574338782	SCNN1A;SCNN1B;SCNN1G;SCNN1D
Syndecan interactions R-HSA-3000170	1.09950019480339e-06	26.3643145156963	6/15	0.000972691172336066	COL1A2;COL1A1;ITGAV;COL5A2;COL5A1;THBS1
Extracellular matrix organization R-HSA-1474244	6.22541220821032e-06	4.934599310438	14/133	0.00291477733391318	ITGA4;COL1A2;COL1A1;ITGAV;LAMA3;PLEC;COL5A2;CD151;COL5A1;ADAMTS2;THBS1;ADAMTS1;ACAN;FBN1
MET activates PTK2 signaling R-HSA-8874081	5.47611487469946e-06	18.251501513452	6/19	0.00291477733391318	SRC;COL1A2;COL1A1;LAMA3;COL5A2;COL5A1
Signaling by Receptor Tyrosine Kinases R-HSA-9006934	6.58954936076831e-06	3.35225891442768	23/327	0.00291477733391318	SRC;SOS1;RPS6KA3;FOS;ATF2;COL1A2;COL1A1;ITGAV;CTNNB1;CTNND1;LAMA3;COL5A2;COL5A1;RHOA;MUC20;ATF1;PDGFRA;EGR1;STAT5A;JAK3;THBS1;ID2;ASCL1
Collagen formation R-HSA-1474290	1.53575464529672e-05	8.68458383784078	8/45	0.00470416093765903	COL1A2;COL1A1;LAMA3;PLEC;COL5A2;CD151;COL5A1;ADAMTS2
Non-integrin membrane-ECM interactions R-HSA-3000171	1.59523166687759e-05	10.728251597735	7/33	0.00470416093765903	COL1A2;COL1A1;ITGAV;LAMA3;COL5A2;COL5A1;THBS1
Sensory perception of taste R-HSA-9717189	1.41521834745999e-05	51.6305924554695	4/7	0.00470416093765903	SCNN1A;SCNN1B;SCNN1G;SCNN1D
O-glycosylation of TSR domain-containing proteins R-HSA-5173214	2.61925569916262e-05	19.5857036868476	5/15	0.00631954965961599	ADAMTS2;SPON1;THBS1;ADAMTS1;POFUT2
