p.value	odds_ratio	overlap	adj_p.value	genes
Nuclear Receptor transcription pathway R-HSA-383280	7.87553396393531e-12	24.8056344500504	12/33	2.09016671402843e-08	NR4A1;RXRA;PPARA;NCOR2;NR1D1;RORA;NR1I2;THRB;RXRG;NR1I3;NR2E1;NR1H3
Circadian Clock R-HSA-400253	2.16864227954154e-10	14.57952739458	13/52	2.87778830495162e-07	NCOA2;EP300;RXRA;HDAC3;PPARA;HELZ2;NCOA1;CLOCK;F7;NPAS2;PPP1CB;NR1D1;RORA
A tetrasaccharide linker sequence is required for GAG synthesis R-HSA-1971475	5.96322430623623e-10	95.9249366252486	7/10	5.27546576958365e-07	SDC3;GPC3;B3GAT1;DCN;VCAN;HSPG2;GPC4
Defective B3GALT6 causes EDSP2 and SEMDJL1 R-HSA-4420332	1.52565355409956e-09	244.572251497514	6/7	5.89165208513945e-07	SDC3;GPC3;DCN;VCAN;HSPG2;GPC4
Defective B4GALT7 causes EDS, progeroid type R-HSA-3560783	1.52565355409956e-09	244.572251497514	6/7	5.89165208513945e-07	SDC3;GPC3;DCN;VCAN;HSPG2;GPC4
Metabolism R-HSA-1430728	1.55393988681146e-09	3.49604163109262	50/900	5.89165208513945e-07	SDC3;GPC3;B3GAT1;DCN;VCAN;HSPG2;GPC4;ABCC3;MBTPS2;MBTPS1;NCOA2;EP300;RXRA;HDAC3;PPARA;HELZ2;NCOA1;NCOR2;L2HGDH;ADHFE1;GLYAT;ACSM2B;ACSM5;ACSM2A;CLOCK;NPAS2;SLC10A1;SLCO1A2;GCLC;BRIP1;PPP1CB;LPIN3;NR1D1;RORA;TSHB;PPCS;THEM5;ACSF2;PIP4P1;NR1H3;PITPNM2;UGCG;AGXT2;CTPS1;AADAT;AASS;FPGS;GCAT;ENPP1;SCLY
Recycling of bile acids and salts R-HSA-159418	1.52565355409956e-09	244.572251497514	6/7	5.89165208513945e-07	ABCC3;NCOA2;RXRA;NCOA1;SLC10A1;SLCO1A2
Defective B3GAT3 causes JDSSDHD R-HSA-3560801	5.97828315824482e-09	122.176557964369	6/8	1.61601741791742e-06	SDC3;GPC3;DCN;VCAN;HSPG2;GPC4
Heme signaling R-HSA-9707616	5.85855029223727e-09	14.2812764358883	11/44	1.61601741791742e-06	NCOA2;EP300;RXRA;HDAC3;PPARA;HELZ2;NCOA1;CLOCK;NPAS2;NR1D1;RORA
PPARA activates gene expression R-HSA-1989781	6.33983825824699e-09	10.4966749921033	13/67	1.61601741791742e-06	NCOA2;EP300;RXRA;HDAC3;PPARA;HELZ2;NCOA1;NCOR2;CLOCK;NPAS2;NR1D1;RORA;NR1H3
SUMO E3 ligases SUMOylate target proteins R-HSA-3108232	6.69788681126286e-09	7.16115479819243	17/124	1.61601741791742e-06	NCOA2;EP300;RXRA;PPARA;NCOA1;NCOR2;HIPK2;BRCA1;SMC1A;RORA;HDAC7;PML;NR1I2;THRB;NR1H3;NSMCE4A;SMC5
Regulation of lipid metabolism by PPARalpha R-HSA-400206	9.26357249526168e-09	10.1184300285994	13/69	1.89119395403265e-06	NCOA2;EP300;RXRA;HDAC3;PPARA;HELZ2;NCOA1;NCOR2;CLOCK;NPAS2;NR1D1;RORA;NR1H3
SUMOylation R-HSA-2990846	8.60128617262537e-09	7.02344528370231	17/126	1.89119395403265e-06	NCOA2;EP300;RXRA;PPARA;NCOA1;NCOR2;HIPK2;BRCA1;SMC1A;RORA;HDAC7;PML;NR1I2;THRB;NR1H3;NSMCE4A;SMC5
BMAL1:CLOCK,NPAS2 activates circadian gene expression R-HSA-1368108	1.21994200022947e-08	27.7808148009601	8/20	2.31266147757787e-06	NCOA2;RXRA;PPARA;HELZ2;NCOA1;CLOCK;F7;NPAS2
Heparan sulfate/heparin (HS-GAG) metabolism R-HSA-1638091	1.56936205477265e-08	41.2650367625859	7/14	2.77672459557774e-06	SDC3;GPC3;B3GAT1;DCN;VCAN;HSPG2;GPC4
RORA activates gene expression R-HSA-1368082	5.01818391289518e-08	32.0561667510986	7/16	8.32391256551488e-06	NCOA2;EP300;RXRA;PPARA;HELZ2;NCOA1;RORA
Metabolism of lipids R-HSA-556833	5.56342488558204e-08	4.29318635165514	25/302	8.68548802725573e-06	ABCC3;MBTPS2;MBTPS1;NCOA2;EP300;RXRA;HDAC3;PPARA;HELZ2;NCOA1;NCOR2;CLOCK;NPAS2;SLC10A1;SLCO1A2;PPP1CB;LPIN3;NR1D1;RORA;THEM5;ACSF2;PIP4P1;NR1H3;PITPNM2;UGCG
Amino Acid conjugation R-HSA-156587	3.81906185355948e-07	Inf	4/4	4.22324589972786e-05	GLYAT;ACSM2B;ACSM5;ACSM2A
Bile acid and bile salt metabolism R-HSA-194068	3.3057398530136e-07	34.9610832885878	6/13	4.22324589972786e-05	ABCC3;NCOA2;RXRA;NCOA1;SLC10A1;SLCO1A2
Conjugation of carboxylic acids R-HSA-159424	3.81906185355948e-07	Inf	4/4	4.22324589972786e-05	GLYAT;ACSM2B;ACSM5;ACSM2A
Conjugation of salicylate with glycine R-HSA-177128	3.81906185355948e-07	Inf	4/4	4.22324589972786e-05	GLYAT;ACSM2B;ACSM5;ACSM2A
Defective EXT1 causes exostoses 1, TRPS2 and CHDS R-HSA-3656253	3.81906185355948e-07	Inf	4/4	4.22324589972786e-05	SDC3;GPC3;HSPG2;GPC4
Defective EXT2 causes exostoses 2 R-HSA-3656237	3.81906185355948e-07	Inf	4/4	4.22324589972786e-05	SDC3;GPC3;HSPG2;GPC4
HS-GAG biosynthesis R-HSA-2022928	3.81906185355948e-07	Inf	4/4	4.22324589972786e-05	SDC3;GPC3;HSPG2;GPC4
Metabolism of steroids R-HSA-8957322	4.38140927955973e-07	10.0755274309284	10/52	4.65130409118061e-05	ABCC3;MBTPS2;MBTPS1;NCOA2;RXRA;PPARA;HELZ2;NCOA1;SLC10A1;SLCO1A2
Chondroitin sulfate/dermatan sulfate metabolism R-HSA-1793185	4.59735156626166e-07	20.6083026426606	7/21	4.69283502186863e-05	SDC3;GPC3;B3GAT1;DCN;VCAN;HSPG2;GPC4
Diseases associated with glycosaminoglycan metabolism R-HSA-3560782	2.19601511893343e-06	22.2600536403141	6/17	0.000215860152801827	SDC3;GPC3;DCN;VCAN;HSPG2;GPC4
NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis R-HSA-9623433	5.50848016053459e-06	79.7288188966358	4/6	0.000522125226644957	RXRA;NCOA1;NCOR2;NR1H3
Aspirin ADME R-HSA-9749641	6.36998437541345e-06	28.8700855164051	5/12	0.000572095781961856	ABCC3;GLYAT;ACSM2B;ACSM5;ACSM2A
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux R-HSA-9029569	6.46679482247765e-06	17.4880793019837	6/20	0.000572095781961856	EP300;RXRA;HDAC3;NCOA1;NCOR2;NR1H3
Regulation of cholesterol biosynthesis by SREBP (SREBF) R-HSA-1655829	8.44785278891717e-06	12.0082971584813	7/31	0.000723245203283425	MBTPS2;MBTPS1;NCOA2;RXRA;PPARA;HELZ2;NCOA1
Impaired BRCA2 binding to RAD51 R-HSA-9709570	1.01446158692335e-05	25.2544511254938	5/13	0.000841369078654553	ATM;RAD50;BRIP1;BRCA1;DNA2
SUMOylation of intracellular receptors R-HSA-4090294	1.19480687849143e-05	15.2921737746487	6/22	0.000960914380459471	RXRA;PPARA;RORA;NR1I2;THRB;NR1H3
Attachment and Entry R-HSA-9694614	1.26040034796435e-05	53.2270102957635	4/7	0.000983853683381584	SDC3;GPC3;HSPG2;GPC4
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function R-HSA-9704331	1.54656612083262e-05	22.4492636419652	5/14	0.00105077535159801	ATM;RAD50;BRIP1;BRCA1;DNA2
Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function R-HSA-9704646	1.54656612083262e-05	22.4492636419652	5/14	0.00105077535159801	ATM;RAD50;BRIP1;BRCA1;DNA2
