p.value	odds_ratio	overlap	adj_p.value	genes
DNA Double Strand Break Response R-HSA-5693606	1.80674832923737e-11	13.9130086815979	15/61	2.39755503289799e-08	H2BC21;H2BC12;H4C9;H2AX;H2BC14;UBE2V2;SMARCA5;BAZ1B;H3-4;KAT5;NBN;MDC1;BABAM1;UIMC1;EYA4
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks R-HSA-5693565	1.39213465672837e-11	14.2243032578193	15/60	2.39755503289799e-08	H2BC21;H2BC12;H4C9;H2AX;H2BC14;UBE2V2;SMARCA5;BAZ1B;H3-4;KAT5;NBN;MDC1;BABAM1;UIMC1;EYA4
Nonhomologous End-Joining (NHEJ) R-HSA-5693571	2.97053975789099e-09	13.0732458139007	12/50	2.62793750581423e-06	H2BC21;H2BC12;H4C9;H2AX;H2BC14;UBE2V2;H3-4;KAT5;NBN;MDC1;BABAM1;UIMC1
DNA Double-Strand Break Repair R-HSA-5693532	2.79450289956142e-08	7.463427057278	15/100	1.79899055510042e-05	H2BC21;H2BC12;H4C9;H2AX;H2BC14;UBE2V2;SMARCA5;BAZ1B;H3-4;KAT5;NBN;MDC1;BABAM1;UIMC1;EYA4
G2/M DNA damage checkpoint R-HSA-69473	4.06704722328655e-08	9.91306653064484	12/62	1.79899055510042e-05	H2BC21;H2BC12;H4C9;H2AX;H2BC14;UBE2V2;H3-4;KAT5;NBN;MDC1;BABAM1;UIMC1
Processing of DNA double-strand break ends R-HSA-5693607	4.06704722328655e-08	9.91306653064484	12/62	1.79899055510042e-05	H2BC21;H2BC12;H4C9;H2AX;H2BC14;UBE2V2;H3-4;KAT5;NBN;MDC1;BABAM1;UIMC1
Sensory perception of salty taste R-HSA-9730628	4.46442653190233e-07	Inf	4/4	0.000169265543080983	SCNN1A;SCNN1B;SCNN1G;SCNN1D
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA) R-HSA-5693567	6.64845103070073e-07	7.36755967705415	12/79	0.000220562362943497	H2BC21;H2BC12;H4C9;H2AX;H2BC14;UBE2V2;H3-4;KAT5;NBN;MDC1;BABAM1;UIMC1
Homology Directed Repair R-HSA-5693538	8.78888183491436e-07	7.15092649159247	12/81	0.000259174359887363	H2BC21;H2BC12;H4C9;H2AX;H2BC14;UBE2V2;H3-4;KAT5;NBN;MDC1;BABAM1;UIMC1
Neurexins and neuroligins R-HSA-6794361	1.82170801866833e-06	23.4940669692911	6/16	0.000483481308154575	NRXN1;DLGAP4;DLGAP2;NRXN2;DLGAP3;SHANK2
Intrinsic Pathway of Fibrin Clot Formation R-HSA-140837	7.70491801680946e-06	27.6855378258264	5/12	0.00179016736096448	SERPINC1;SERPINE2;VWF;GP1BA;F11
Protein-protein interactions at synapses R-HSA-6794362	8.09420057708128e-06	16.7740360241453	6/20	0.00179016736096448	NRXN1;DLGAP4;DLGAP2;NRXN2;DLGAP3;SHANK2
Sensory perception of taste R-HSA-9717189	1.46982713502368e-05	51.118346474106	4/7	0.00278637229739489	SCNN1A;SCNN1B;SCNN1G;SCNN1D
Transcriptional regulation of testis differentiation R-HSA-9690406	1.46982713502368e-05	51.118346474106	4/7	0.00278637229739489	SRY;SOX9;WT1;DMRT1
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer R-HSA-2173793	4.27122875578852e-05	7.38621559375524	8/51	0.00755722741190849	EP300;NCOR1;FURIN;E2F5;SMAD3;JUNB;SMAD2;TRIM33
DCC mediated attractive signaling R-HSA-418885	5.0802691629508e-05	30.7215030345276	4/9	0.00756313543313827	SRC;CDC42;ABLIM2;NTN1
DNA Repair R-HSA-73894	4.80807478834307e-05	3.81551304598507	15/178	0.00756313543313827	H2BC21;H2BC12;H4C9;H2AX;H2BC14;UBE2V2;SMARCA5;BAZ1B;H3-4;KAT5;NBN;MDC1;BABAM1;UIMC1;EYA4
G2/M Checkpoints R-HSA-69481	5.12948145427614e-05	4.5671135073197	12/119	0.00756313543313827	H2BC21;H2BC12;H4C9;H2AX;H2BC14;UBE2V2;H3-4;KAT5;NBN;MDC1;BABAM1;UIMC1
Netrin-1 signaling R-HSA-373752	7.34961712923438e-05	14.9054282862097	5/18	0.0102662546636779	SRC;CDC42;UNC5B;ABLIM2;NTN1
B-WICH complex positively regulates rRNA expression R-HSA-5250924	0.000123349090187781	5.43789840682187	9/75	0.0161455845119893	H2BC21;H2BC12;H4C9;H2AX;H2BC14;EP300;SMARCA5;DDX21;BAZ1B
Germ layer formation at gastrulation R-HSA-9754189	0.000127753306236539	21.9495758254887	4/11	0.0161455845119893	NANOG;SMAD3;SMAD2;TRIM33
Netrin mediated repulsion signals R-HSA-418886	0.00016852387910384	56.9916785789207	3/5	0.0203301079609814	SRC;UNC5B;NTN1
Formation of Fibrin Clot (Clotting Cascade) R-HSA-140877	0.000207751334985597	11.3959498960529	5/22	0.0239726975239902	SERPINC1;SERPINE2;VWF;GP1BA;F11
Sensory Perception R-HSA-9709957	0.000223835883968798	5.65419996837525	8/64	0.0247525181688829	GSN;SCNN1A;SCNN1B;SCNN1G;SCNN1D;SYP;PCLO;BSN
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription R-HSA-2173796	0.000289127909745149	7.80604618911961	6/36	0.030693818898545	EP300;FURIN;E2F5;SMAD3;JUNB;SMAD2
DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586	0.000309048344284382	5.361837188711	8/67	0.0315467040665673	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4;KAT5;NBN
Signaling by TGF-beta Receptor Complex R-HSA-170834	0.000387706569509469	4.5876796383579	9/87	0.0381101198325234	EP300;NCOR1;FURIN;E2F5;SMAD3;JUNB;SMAD2;TRIM33;PMEPA1
Positive epigenetic regulation of rRNA expression R-HSA-5250913	0.000422559873234064	4.52869239335264	9/88	0.0400526394129716	H2BC21;H2BC12;H4C9;H2AX;H2BC14;EP300;SMARCA5;DDX21;BAZ1B
Ion channel transport R-HSA-983712	0.000462208816953508	5.0162921611923	8/71	0.0423000758687797	ATP1A1;FXYD2;SCNN1A;SCNN1B;TRPM7;SCNN1G;SCNN1D;WNK2
Cleavage of the damaged purine R-HSA-110331	0.000600111348182381	6.68291404040591	6/41	0.0482635005477588	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4
Depurination R-HSA-73927	0.000600111348182381	6.68291404040591	6/41	0.0482635005477588	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4
Packaging Of Telomere Ends R-HSA-171306	0.000600111348182381	6.68291404040591	6/41	0.0482635005477588	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4
Recognition and association of DNA glycosylase with site containing an affected purine R-HSA-110330	0.000600111348182381	6.68291404040591	6/41	0.0482635005477588	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4
Base-Excision Repair, AP Site Formation R-HSA-73929	0.000779820114450399	6.3188625809936	6/43	0.051741064593784	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4
Cell Cycle Checkpoints R-HSA-69620	0.000731243767861722	3.15496692901861	13/180	0.051741064593784	AURKB;H2BC21;H2BC12;H4C9;H2AX;H2BC14;UBE2V2;H3-4;KAT5;NBN;MDC1;BABAM1;UIMC1
Cleavage of the damaged pyrimidine  R-HSA-110329	0.000779820114450399	6.3188625809936	6/43	0.051741064593784	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4
Defective F9 activation R-HSA-9673221	0.000680738441575027	Inf	2/2	0.051741064593784	GP1BA;F11
Depyrimidination R-HSA-73928	0.000779820114450399	6.3188625809936	6/43	0.051741064593784	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4
Recognition and association of DNA glycosylase with site containing an affected pyrimidine R-HSA-110328	0.000779820114450399	6.3188625809936	6/43	0.051741064593784	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4
Stimuli-sensing channels R-HSA-2672351	0.000685411920234934	6.49583665796329	6/42	0.051741064593784	SCNN1A;SCNN1B;TRPM7;SCNN1G;SCNN1D;WNK2
Signaling by TGFB family members R-HSA-9006936	0.00100733111468754	3.96448901222711	9/99	0.0652062628873349	EP300;NCOR1;FURIN;E2F5;SMAD3;JUNB;SMAD2;TRIM33;PMEPA1
Formation of the beta-catenin:TCF transactivating complex R-HSA-201722	0.0011250694975607	4.31894321159554	8/81	0.0710936772982404	H2BC21;H2BC12;H4C9;H2AX;H2BC14;EP300;H3-4;KAT5
Defects of contact activation system (CAS) and kallikrein/kinin system (KKS) R-HSA-9651496	0.00131081723246532	19.0311607058504	3/9	0.0790661121582491	VWF;GP1BA;F11
GP1b-IX-V activation signalling R-HSA-430116	0.00131081723246532	19.0311607058504	3/9	0.0790661121582491	SRC;VWF;GP1BA
Deposition of new CENPA-containing nucleosomes at the centromere R-HSA-606279	0.00141169765255614	5.55959362898206	6/48	0.0797158631890212	H2BC21;H2BC12;H4C9;H2AX;H2BC14;SMARCA5
Nucleosome assembly R-HSA-774815	0.00141169765255614	5.55959362898206	6/48	0.0797158631890212	H2BC21;H2BC12;H4C9;H2AX;H2BC14;SMARCA5
Signaling by PDGF R-HSA-186797	0.00141169765255614	5.55959362898206	6/48	0.0797158631890212	SRC;FURIN;STAT6;STAT5B;PLAT;PDGFD
Transcriptional Regulation by MECP2 R-HSA-8986944	0.001488517467155	6.9040516644928	5/33	0.0823026116214452	AURKB;NCOR1;HIPK2;MECP2;DGCR8
Amyloid fiber formation R-HSA-977225	0.00154370050465877	4.09054151198469	8/85	0.0829714972254218	H2BC21;H2BC12;H4C9;H2AX;H2BC14;FURIN;APP;GSN
Regulation of MECP2 expression and activity R-HSA-9022692	0.00156314049030561	9.59519076988582	4/20	0.0829714972254218	AURKB;NCOR1;HIPK2;MECP2
Generic Transcription Pathway R-HSA-212436	0.0017198711198495	2.03068167005424	29/645	0.0877795760015495	SRC;AURKB;H2BC21;H2BC12;H4C9;H2AX;H2BC14;EP300;NCOR1;FURIN;ARNT;NAMPT;HIPK2;KAT5;NBN;MDC1;E2F5;MYBL2;ARID1A;SMAD3;JUNB;SOX9;GP1BA;SMAD2;TRIM33;NR5A2;MECP2;DGCR8;NOC2L
Replacement of protamines by nucleosomes in the male pronucleus R-HSA-9821993	0.00170924118337822	6.6649764811079	5/34	0.0877795760015495	H2BC21;H2BC12;H4C9;H2AX;H2BC14
TCF dependent signaling in response to WNT R-HSA-201681	0.00176423390415903	2.97426603497641	12/174	0.0883448449365673	H2BC21;H2BC12;H4C9;H2AX;H2BC14;EP300;FZD5;H3-4;KAT5;WNT3A;SRY;SOX9
Meiotic recombination R-HSA-912446	0.00181377179887997	4.49046024717457	7/68	0.0891435250782859	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4;NBN
Epigenetic regulation of gene expression R-HSA-212165	0.0020398689738346	3.28430969296966	10/131	0.091759529772153	H2BC21;H2BC12;H4C9;H2AX;H2BC14;EP300;SMARCA5;DDX21;BAZ1B;UBTF
Gene expression (Transcription) R-HSA-74160	0.00191793741626482	1.94684112043998	33/775	0.091759529772153	SRC;AURKB;H2BC21;H2BC12;H4C9;H2AX;H2BC14;EP300;NCOR1;FURIN;ARNT;SMARCA5;DDX21;BAZ1B;NAMPT;HIPK2;KAT5;NBN;MDC1;E2F5;MYBL2;ARID1A;SMAD3;JUNB;SOX9;GP1BA;SMAD2;TRIM33;NR5A2;MECP2;UBTF;DGCR8;NOC2L
Loss of Function of SMAD4 in Cancer R-HSA-3304347	0.00200718474683107	75.2264902573664	2/3	0.091759529772153	SMAD3;SMAD2
SMAD2/3 MH2 Domain Mutants in Cancer R-HSA-3315487	0.00200718474683107	75.2264902573664	2/3	0.091759529772153	SMAD3;SMAD2
SMAD4 MH2 Domain Mutants in Cancer R-HSA-3311021	0.00200718474683107	75.2264902573664	2/3	0.091759529772153	SMAD3;SMAD2
Reproduction R-HSA-1474165	0.00223156514243299	3.83645382981317	8/90	0.0987095648002859	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4;NBN;NANOG
Base Excision Repair R-HSA-73884	0.00237560217407963	4.96223127900643	6/53	0.103358166721432	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4
Meiotic synapsis R-HSA-1221632	0.00287553165375868	4.7582902528381	6/55	0.123091306597993	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4
Diseases of hemostasis R-HSA-9671793	0.00324143553079001	12.6853897822735	3/12	0.132350306134103	VWF;GP1BA;F11
Inhibition of DNA recombination at telomere R-HSA-9670095	0.00315321694569139	4.6623901224599	6/56	0.132350306134103	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4
Signaling by NODAL R-HSA-1181150	0.00324143553079001	12.6853897822735	3/12	0.132350306134103	FURIN;SMAD3;SMAD2
Neuronal System R-HSA-112316	0.00333323683940991	3.04987402973486	10/140	0.134036523815059	SRC;TSPOAP1;LRRC7;ARHGEF7;NRXN1;DLGAP4;DLGAP2;NRXN2;DLGAP3;SHANK2
RNA Polymerase I Promoter Opening R-HSA-73728	0.00345048061533722	4.56909167316374	6/57	0.136680232135895	H2BC21;H2BC12;H4C9;H2AX;H2BC14;UBTF
Aspartate and asparagine metabolism R-HSA-8963693	0.00394564766583367	37.6604405877783	2/4	0.145050000555678	ASPG;ASPA
Defective binding of VWF variant to GPIb:IX:V R-HSA-9846298	0.00394564766583367	37.6604405877783	2/4	0.145050000555678	VWF;GP1BA
Defective factor IX causes hemophilia B R-HSA-9668250	0.00394564766583367	37.6604405877783	2/4	0.145050000555678	GP1BA;F11
Enhanced binding of GP1BA variant to VWF multimer:collagen  R-HSA-9845620	0.00394564766583367	37.6604405877783	2/4	0.145050000555678	VWF;GP1BA
Formation of the anterior neural plate R-HSA-9823739	0.00394564766583367	37.6604405877783	2/4	0.145050000555678	ZEB2;NANOG
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function R-HSA-8936459	0.00398969481558572	3.84873855901185	7/78	0.145050000555678	H2BC21;H2BC12;H4C9;H2AX;H2BC14;EP300;GP1BA
NoRC negatively regulates rRNA expression R-HSA-427413	0.00428493319065228	3.79439867981776	7/79	0.153678549837718	H2BC21;H2BC12;H4C9;H2AX;H2BC14;SMARCA5;UBTF
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 R-HSA-5625886	0.0044680870509461	4.31237379040729	6/60	0.158110707109479	H2BC21;H2BC12;H4C9;KDM4C;H2AX;H2BC14
Negative epigenetic regulation of rRNA expression R-HSA-5250941	0.00459646019261321	3.74155874661284	7/80	0.160513228305203	H2BC21;H2BC12;H4C9;H2AX;H2BC14;SMARCA5;UBTF
Chromosome Maintenance R-HSA-73886	0.00492483498809113	3.6901579405008	7/81	0.167570667415306	H2BC21;H2BC12;H4C9;H2AX;H2BC14;SMARCA5;H3-4
Meiosis R-HSA-1500620	0.00492483498809113	3.6901579405008	7/81	0.167570667415306	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4;NBN
Condensation of Prophase Chromosomes R-HSA-2299718	0.00569211017168248	4.08249115875821	6/63	0.191226080957535	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4
Defects of platelet adhesion to exposed collagen R-HSA-9823587	0.00646373019032023	25.1237301121726	2/5	0.201977444933806	VWF;GP1BA
Formation of the posterior neural plate R-HSA-9832991	0.00646373019032023	25.1237301121726	2/5	0.201977444933806	ZEB2;WNT3A
RNA Polymerase II Transcription R-HSA-73857	0.0064687576561317	1.82028773330567	29/704	0.201977444933806	SRC;AURKB;H2BC21;H2BC12;H4C9;H2AX;H2BC14;EP300;NCOR1;FURIN;ARNT;NAMPT;HIPK2;KAT5;NBN;MDC1;E2F5;MYBL2;ARID1A;SMAD3;JUNB;SOX9;GP1BA;SMAD2;TRIM33;NR5A2;MECP2;DGCR8;NOC2L
Regulation of commissural axon pathfinding by SLIT and ROBO R-HSA-428542	0.00646373019032023	25.1237301121726	2/5	0.201977444933806	SRC;NTN1
Sensing of DNA Double Strand Breaks R-HSA-5693548	0.00646373019032023	25.1237301121726	2/5	0.201977444933806	KAT5;NBN
Signaling by RNF43 mutants R-HSA-5340588	0.00646373019032023	25.1237301121726	2/5	0.201977444933806	FZD5;WNT3A
Gastrulation R-HSA-9758941	0.00728058969919959	3.40799883527023	7/87	0.22468238443809	EP300;ZEB2;WNT3A;NANOG;SMAD3;SMAD2;TRIM33
Downregulation of SMAD2/3:SMAD4 transcriptional activity R-HSA-2173795	0.00813775869070436	5.67537126578356	4/31	0.245313162273996	NCOR1;SMAD3;SMAD2;TRIM33
Pre-NOTCH Expression and Processing R-HSA-1912422	0.00822640220135103	3.32320631713546	7/89	0.245313162273996	H2BC21;H2BC12;H4C9;H2AX;H2BC14;EP300;FURIN
Sensory processing of sound R-HSA-9659379	0.00813775869070436	5.67537126578356	4/31	0.245313162273996	GSN;SYP;PCLO;BSN
Loss of MECP2 binding ability to the NCoR/SMRT complex R-HSA-9022537	0.00953028587670753	18.8581079024204	2/6	0.266246091755598	NCOR1;MECP2
Mitochondrial tRNA aminoacylation R-HSA-379726	0.00953028587670753	18.8581079024204	2/6	0.266246091755598	CARS2;AARS2
Polo-like kinase mediated events R-HSA-156711	0.00953028587670753	18.8581079024204	2/6	0.266246091755598	EP300;MYBL2
RNA Polymerase I Promoter Escape R-HSA-73772	0.00947901364238027	3.62936413880133	6/70	0.266246091755598	H2BC21;H2BC12;H4C9;H2AX;H2BC14;UBTF
SMAD2/3 Phosphorylation Motif Mutants in Cancer R-HSA-3304356	0.00953028587670753	18.8581079024204	2/6	0.266246091755598	SMAD3;SMAD2
TGFBR1 KD Mutants in Cancer R-HSA-3656532	0.00953028587670753	18.8581079024204	2/6	0.266246091755598	SMAD3;SMAD2
Activation of HOX genes during differentiation R-HSA-5619507	0.0116095425388335	3.09194740744713	7/95	0.314405366306777	H2BC21;H2BC12;H4C9;H2AX;H2BC14;EP300;NCOR1
Activation of anterior HOX genes in hindbrain development during early embryogenesis R-HSA-5617472	0.0116095425388335	3.09194740744713	7/95	0.314405366306777	H2BC21;H2BC12;H4C9;H2AX;H2BC14;EP300;NCOR1
Telomere Maintenance R-HSA-157579	0.0115550012389824	3.46463704077384	6/73	0.314405366306777	H2BC21;H2BC12;H4C9;H2AX;H2BC14;H3-4
Regulation of TP53 Activity through Phosphorylation R-HSA-6804756	0.0118985686133205	4.00930570404981	5/53	0.31897778888639	AURKB;HIPK2;KAT5;NBN;NOC2L
GRB2:SOS provides linkage to MAPK signaling for Integrins  R-HSA-354194	0.0131153765365136	15.0842318127418	2/7	0.337943779882593	SRC;VWF
Loss of Function of SMAD2/3 in Cancer R-HSA-3304349	0.0131153765365136	15.0842318127418	2/7	0.337943779882593	SMAD3;SMAD2
Loss of Function of TGFBR1 in Cancer R-HSA-3656534	0.0131153765365136	15.0842318127418	2/7	0.337943779882593	SMAD3;SMAD2
p130Cas linkage to MAPK signaling for integrins R-HSA-372708	0.0131153765365136	15.0842318127418	2/7	0.337943779882593	SRC;VWF
