p.value	odds_ratio	overlap	adj_p.value	genes
RMTs methylate histone arginines R-HSA-3214858	1.31935515213323e-14	17.1312052605753	18/60	3.50156857376159e-11	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;SMARCD3;ACTL6A;SMARCA4;ARID1B;SMARCE1;SMARCC2;SMARCA2;ARID1A
Chromatin modifying enzymes R-HSA-3247509	1.7709798767032e-12	7.15397444624777	26/180	1.56672686425676e-09	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;KDM4C;H3C14;DPY30;SMARCD3;BRWD1;ACTL6A;SMARCA4;SETD2;KMT2B;ARID1B;SMARCE1;SMARCC2;SMARCA2;ARID1A;KMT2A;EPC1;AEBP2
Chromatin organization R-HSA-4839726	1.7709798767032e-12	7.15397444624777	26/180	1.56672686425676e-09	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;KDM4C;H3C14;DPY30;SMARCD3;BRWD1;ACTL6A;SMARCA4;SETD2;KMT2B;ARID1B;SMARCE1;SMARCC2;SMARCA2;ARID1A;KMT2A;EPC1;AEBP2
PKMTs methylate histone lysines R-HSA-3214841	1.17677905575475e-11	14.5478536408572	15/55	7.80792903493277e-09	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;DPY30;SETD2;KMT2B;KMT2A;AEBP2
Interleukin-7 signaling R-HSA-1266695	3.37229096753182e-11	21.6134148290806	12/33	1.79001204556589e-08	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;BRWD1;SMARCA4
Transcriptional regulation by RUNX1 R-HSA-8878171	4.80433509294669e-11	6.29019696331379	25/191	2.12511755611342e-08	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;DPY30;SMARCD3;PRKCQ;ACTL6A;SMARCA4;KMT2B;ARID1B;SMARCE1;SMARCC2;SMARCA2;ARID1A;KMT2A;RUNX1;CBFB;PAX5
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function R-HSA-8936459	2.52640097223307e-10	10.0659910800972	16/78	9.57866882900938e-08	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;DPY30;PRKCQ;KMT2B;KMT2A;RUNX1;CBFB
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known R-HSA-8939243	1.9938077186521e-09	20.6306086835164	10/28	6.61445710662834e-07	SMARCD3;ACTL6A;SMARCA4;ARID1B;SMARCE1;SMARCC2;SMARCA2;ARID1A;RUNX1;CBFB
HDMs demethylate histones R-HSA-3214842	2.79248138600417e-09	15.8341804876633	11/37	8.23471733161674e-07	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;KDM4C;H3C14
RHO GTPases activate PKNs R-HSA-5625740	3.62783435207904e-09	8.90376602061926	15/80	8.75297488219797e-07	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;KDM4C;H3C14;MYH14;MYH10;PPP1CB;PPP1R12B
Regulation of MITF-M-dependent genes involved in pigmentation R-HSA-9824585	3.57052165892683e-09	36.4795890500985	8/16	8.75297488219797e-07	SMARCD3;ACTL6A;SMARCA4;ARID1B;SMARCE1;SMARCC2;SMARCA2;ARID1A
Epigenetic regulation of gene expression R-HSA-212165	1.00145685690883e-07	5.7989243909036	17/131	2.21488874853003e-05	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;DPY30;KMT2B;KMT2A;AEBP2;MEN1;MTF2;TASP1
Semaphorin interactions R-HSA-373755	1.24750536533328e-07	11.9517067182684	10/41	2.54683018430348e-05	CDK5;NRP1;LIMK2;ROCK2;MYH14;SEMA4A;PLXNB1;MYH10;DPYSL2;ARHGEF12
PRC2 methylates histones and DNA R-HSA-212300	1.78001988114463e-07	8.50813522486472	12/65	3.37440911754132e-05	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;AEBP2;MTF2
Hemostasis R-HSA-109582	2.11968379474924e-07	3.81928606279659	26/305	3.75042719417632e-05	AKT1;CDK5;H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;CALM1;KLKB1;CD74;PRKCQ;APP;C1QBP;SPARC;ATP2B2;SLC8A1;PSAP;SERPINC1;SERPINE2;F11;F12
PD-1 signaling R-HSA-389948	3.07831091907821e-07	23.0096345652482	7/18	5.10614823702098e-05	HLA-DRB1;CD274;CD3E;HLA-DQA1;CD3D;HLA-DPA1;HLA-DRA
Transcriptional regulation of granulopoiesis R-HSA-9616222	3.4481352148819e-07	7.11975475444097	13/82	5.38314756488033e-05	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;KMT2A;RUNX1;CBFB
Intrinsic Pathway of Fibrin Clot Formation R-HSA-140837	3.73315444258881e-07	35.8317577540092	6/12	5.50432882812817e-05	KLKB1;C1QBP;SERPINC1;SERPINE2;F11;F12
Amyloid fiber formation R-HSA-977225	5.31484823617387e-07	6.81874009540044	13/85	7.42400379937129e-05	HSPG2;H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;APP;SORL1
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 R-HSA-5625886	6.45022891871798e-07	8.36352261614065	11/60	7.48965815916587e-05	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;KDM4C;H3C14
Diseases of programmed cell death R-HSA-9645723	6.11323800054496e-07	6.72388034952864	13/86	7.48965815916587e-05	CDK5;H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;APP;C1QBP
RHO GTPase Effectors R-HSA-195258	6.42455484941034e-07	4.33139876227392	20/202	7.48965815916587e-05	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;KDM4C;H3C14;CALM1;CDH1;LIMK2;ROCK2;MYH14;MYH10;PPP1CB;PPP1R12B;MEN1
