p.value	odds_ratio	overlap	adj_p.value	genes
Translation R-HSA-72766	3.96919821208515e-35	15.7859179150401	52/181	1.0534252054874e-31	UBA52;EIF2S2;EIF3G;RPS24;EIF3F;RPS23;RPS8;RPS27L;RPSA;RPS10;EIF3D;RPS27;RPS5;RPS12;EIF3I;RPS13;EIF3M;RPN2;EEF1A1;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A;TRMT112;SRPRB;EEF1A2;MRPL28;MRPS22;MRPL42;MRPL1;MRPL52;MRPL58;SSR2;MRPS15;MRPS35;AURKAIP1;MRPL37;MRPL13;MRPS34;MRPL46
Formation of a pool of free 40S subunits R-HSA-72689	6.50050576697287e-25	18.8696406350786	32/88	5.75078076851533e-22	UBA52;EIF3G;RPS24;EIF3F;RPS23;RPS8;RPS27L;RPSA;RPS10;EIF3D;RPS27;RPS5;RPS12;EIF3I;RPS13;EIF3M;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A
GTP hydrolysis and joining of the 60S ribosomal subunit R-HSA-72706	6.10984270872234e-25	17.7038685485429	33/95	5.75078076851533e-22	UBA52;EIF2S2;EIF3G;RPS24;EIF3F;RPS23;RPS8;RPS27L;RPSA;RPS10;EIF3D;RPS27;RPS5;RPS12;EIF3I;RPS13;EIF3M;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A
Cap-dependent Translation Initiation R-HSA-72737	1.33259818191231e-24	17.1428717736952	33/97	5.89452595799212e-22	UBA52;EIF2S2;EIF3G;RPS24;EIF3F;RPS23;RPS8;RPS27L;RPSA;RPS10;EIF3D;RPS27;RPS5;RPS12;EIF3I;RPS13;EIF3M;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A
Eukaryotic Translation Initiation R-HSA-72613	1.33259818191231e-24	17.1428717736952	33/97	5.89452595799212e-22	UBA52;EIF2S2;EIF3G;RPS24;EIF3F;RPS23;RPS8;RPS27L;RPSA;RPS10;EIF3D;RPS27;RPS5;RPS12;EIF3I;RPS13;EIF3M;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A
L13a-mediated translational silencing of Ceruloplasmin expression R-HSA-156827	9.04764288483603e-25	17.4189245520876	33/96	5.89452595799212e-22	UBA52;EIF2S2;EIF3G;RPS24;EIF3F;RPS23;RPS8;RPS27L;RPSA;RPS10;EIF3D;RPS27;RPS5;RPS12;EIF3I;RPS13;EIF3M;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A
Metabolism of proteins R-HSA-392499	2.15675661259691e-24	5.75821444803167	94/998	8.17718864261743e-22	PSMA4;PSMA6;PSMB3;PSMC2;DERL1;PSMD6;PSMA5;PSMD8;UBA52;PSMA1;EIF2S2;SKP1;DYNLL1;H2BC3;FBXW11;EIF3G;RPS24;EIF3F;RPS23;RPS8;RPS27L;RPSA;RPS10;EIF3D;RPS27;RPS5;RPS12;EIF3I;RPS13;EIF3M;RBX1;UBA3;UBE2D2;UBE2L6;APCS;H2AZ1;IAPP;RPN2;MAGT1;CCT8;CCT3;CCT5;CCT2;TCP1;CCT6A;CCT4;TOMM20;EEF1A1;USP30;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A;MYC;TRMT112;MAT2B;GALNT1;ASPH;HSPA9;SRPRB;ADRM1;FKBP8;EEF1A2;DPH3;DPH2;HSPD1;MRPL28;MRPS22;MRPL42;MRPL1;MRPL52;MRPL58;SSR2;MRPS15;MRPS35;AURKAIP1;MRPL37;MRPL13;CLPX;MRPS34;PCMT1;MRPL46
Eukaryotic Translation Elongation R-HSA-156842	5.1083945869271e-22	17.2988893623783	29/83	1.69470990421307e-19	UBA52;RPS24;RPS23;RPS8;RPS27L;RPSA;RPS10;RPS27;RPS5;RPS12;RPS13;EEF1A1;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A;EEF1A2
Regulation of expression of SLITs and ROBOs R-HSA-9010553	9.22911816166028e-22	11.3618611954615	36/143	2.72156440011626e-19	PSMA4;PSMA6;PSMB3;PSMC2;PSMD6;PSMA5;PSMD8;UBA52;PSMA1;RPS24;RPS23;RPS8;RPS27L;RPSA;RPS10;RPS27;RPS5;RPS12;RPS13;RBX1;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A
SRP-dependent cotranslational protein targeting to membrane R-HSA-1799339	1.91045983530133e-21	15.1902884457701	30/94	5.07036040288973e-19	UBA52;RPS24;RPS23;RPS8;RPS27L;RPSA;RPS10;RPS27;RPS5;RPS12;RPS13;RPN2;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A;SRPRB;SSR2
Eukaryotic Translation Termination R-HSA-72764	4.00746665327622e-21	16.8808895532129	28/81	8.86318041482924e-19	UBA52;RPS24;RPS23;RPS8;RPS27L;RPSA;RPS10;RPS27;RPS5;RPS12;RPS13;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A;TRMT112
Peptide chain elongation R-HSA-156902	4.00746665327622e-21	16.8808895532129	28/81	8.86318041482924e-19	UBA52;RPS24;RPS23;RPS8;RPS27L;RPSA;RPS10;RPS27;RPS5;RPS12;RPS13;EEF1A1;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A
Viral mRNA Translation R-HSA-192823	6.6251898662708e-20	15.8413055558366	27/81	1.35255799269867e-17	UBA52;RPS24;RPS23;RPS8;RPS27L;RPSA;RPS10;RPS27;RPS5;RPS12;RPS13;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A
Selenocysteine synthesis R-HSA-2408557	1.37927671882041e-19	15.2682195105479	27/83	2.61471457982098e-17	UBA52;RPS24;RPS23;RPS8;RPS27L;RPSA;RPS10;RPS27;RPS5;RPS12;RPS13;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) R-HSA-975956	1.97291261092151e-19	14.9967959662519	27/84	3.46874267459683e-17	UBA52;RPS24;RPS23;RPS8;RPS27L;RPSA;RPS10;RPS27;RPS5;RPS12;RPS13;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A
Response of EIF2AK4 (GCN2) to amino acid deficiency R-HSA-9633012	2.0911787036002e-19	13.9427427784428	28/92	3.46874267459683e-17	UBA52;EIF2S2;RPS24;RPS23;RPS8;RPS27L;RPSA;RPS10;RPS27;RPS5;RPS12;RPS13;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A
Signaling by ROBO receptors R-HSA-376176	4.9780566819284e-19	9.01205435102336	36/170	7.77162496108116e-17	PSMA4;PSMA6;PSMB3;PSMC2;PSMD6;PSMA5;PSMD8;UBA52;PSMA1;RPS24;RPS23;RPS8;RPS27L;RPSA;RPS10;RPS27;RPS5;RPS12;RPS13;RBX1;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A
Selenoamino acid metabolism R-HSA-2408522	5.52760062957814e-19	13.308964510758	28/95	8.1501400393891e-17	UBA52;RPS24;RPS23;RPS8;RPS27L;RPSA;RPS10;RPS27;RPS5;RPS12;RPS13;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A;SCLY
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) R-HSA-975957	2.86565903021689e-18	13.1262376717213	27/92	3.80272953309781e-16	UBA52;RPS24;RPS23;RPS8;RPS27L;RPSA;RPS10;RPS27;RPS5;RPS12;RPS13;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A
Nonsense-Mediated Decay (NMD) R-HSA-927802	2.86565903021689e-18	13.1262376717213	27/92	3.80272953309781e-16	UBA52;RPS24;RPS23;RPS8;RPS27L;RPSA;RPS10;RPS27;RPS5;RPS12;RPS13;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A
Metabolism of amino acids and derivatives R-HSA-71291	5.00380435175425e-18	7.51055892770572	39/216	6.32385559502656e-16	PSMA4;PSMA6;PSMB3;PSMC2;PSMD6;PSMA5;PSMD8;UBA52;PSMA1;RPS24;RPS23;RPS8;RPS27L;RPSA;RPS10;RPS27;RPS5;RPS12;RPS13;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A;HIBADH;AASS;NAGS;SCLY
rRNA processing in the nucleus and cytosol R-HSA-8868773	1.28030503602133e-17	10.2668799571401	30/124	1.54451343890937e-15	UBA52;RPS24;RPS23;RPS8;RPS27L;RPSA;RPS10;RPS27;RPS5;RPS12;RPS13;RPL32;RPL14;RPL15;RPL19;RPL26;RPL17;RPL18A;RPL12;RPL23;RPL10A;RPL36;RPL22L1;RPL35;RPL4;RPL11;RPL35A;TRMT112;SNU13;IMP4
