p.value	odds_ratio	overlap	adj_p.value	genes
Immune System R-HSA-168256	8.95856015243286e-12	3.00814626430861	82/998	2.37760186445568e-08	CREB1;BTRC;CCL2;NRAS;TP53;JUN;TBK1;IRF7;IRF3;REL;NFKBIE;NFKB1;NFKBIB;NFKBIA;RELA;RPS6KA3;MAPK3;MAPK1;FOS;ATF2;NCF4;HLA-DRB1;CD74;TYROBP;CD86;AP1S2;COL1A2;HCST;S100A9;CD36;NCF2;S100A8;NFATC1;HLA-DRA;DAPP1;NFATC2;ITGAV;FCGR3A;CTNNB1;CEBPD;APP;VIM;FCGR2A;HCK;CCR2;STAT1;STAT3;ARPC5;ARPC3;MSN;MAPK7;ARPC2;MYC;RELB;NFKB2;IQGAP1;C3AR1;CD44;HIF1A;CCL19;CCL4;CXCL10;CCL3;CCR1;F13A1;FCN1;EGR1;PIAS1;SMAD3;IRF8;LGALS9;HAVCR2;STAT5A;IRF1;CSF2RB;TWIST1;ANXA2;IRF5;NCKAP1L;GNS;STK10;CD93
Signaling by Interleukins R-HSA-449147	3.30117461459061e-11	3.9182775559337	43/351	4.38065871356174e-08	CREB1;BTRC;CCL2;TP53;JUN;TBK1;NFKB1;NFKBIB;NFKBIA;RELA;RPS6KA3;MAPK3;MAPK1;FOS;ATF2;CD86;COL1A2;CD36;CEBPD;APP;VIM;HCK;CCR2;STAT1;STAT3;MSN;MAPK7;MYC;NFKB2;HIF1A;CCL19;CCL4;CXCL10;CCL3;CCR1;F13A1;SMAD3;LGALS9;HAVCR2;STAT5A;CSF2RB;TWIST1;ANXA2
Cytokine Signaling in Immune system R-HSA-1280215	4.95737556684523e-11	3.34053766278963	55/540	4.38562491813575e-08	CREB1;BTRC;CCL2;NRAS;TP53;JUN;TBK1;IRF7;IRF3;NFKB1;NFKBIB;NFKBIA;RELA;RPS6KA3;MAPK3;MAPK1;FOS;ATF2;HLA-DRB1;CD86;COL1A2;CD36;HLA-DRA;CEBPD;APP;VIM;HCK;CCR2;STAT1;STAT3;MSN;MAPK7;MYC;RELB;NFKB2;CD44;HIF1A;CCL19;CCL4;CXCL10;CCL3;CCR1;F13A1;EGR1;PIAS1;SMAD3;IRF8;LGALS9;HAVCR2;STAT5A;IRF1;CSF2RB;TWIST1;ANXA2;IRF5
G alpha (i) signalling events R-HSA-418594	3.54471781759478e-10	6.46447901180013	22/109	2.26798957457517e-07	GNG11;GNAI2;GNG2;CREB1;GNB2;MAPK1;ADORA3;APP;CCR2;C3AR1;CCL19;CCL4;CCL21;CXCR3;CXCL9;CXCL11;CXCL10;CCR1;P2RY13;RGS18;RGS19;RGS1
Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016	4.27277613898864e-10	6.38966973915959	22/110	2.26798957457517e-07	CREB1;BTRC;TP53;JUN;TBK1;IRF7;IRF3;NFKB1;NFKBIB;NFKBIA;RELA;RPS6KA3;MAPK3;MAPK1;FOS;ATF2;S100A9;CD36;S100A8;APP;MAPK7;NFKB2
Signal Transduction R-HSA-162582	6.03875965635009e-10	2.64887236125208	93/1306	2.67114468799219e-07	GNG11;GNAI2;GNG2;CREB1;GNB2;STK11;BTRC;CCL2;E2F1;NRAS;TP53;JUN;EGR2;RARA;TBK1;NFKB1;NFKBIA;RELA;RPS6KA3;MAPK3;MAPK1;SP1;FOS;ATF2;NCF4;CD86;COL1A2;S100A9;NCF2;S100A8;NFATC1;ITGAV;ADORA3;CTNNB1;CDH5;SMAD4;APP;VIM;COL4A2;COL4A1;CCR2;STAT1;STAT3;ARPC5;ARPC3;MAPK7;ARPC2;MYC;TCF7L2;SPARC;ARHGEF6;IQGAP1;SRF;C3AR1;HIF1A;CCL19;CCL4;CCL21;CXCR3;CXCL9;CXCL11;CXCL10;CCL3;CCR1;P2RY13;ESR2;ESR1;EGR1;SMAD3;STAT5A;CSF2RB;DNMT1;TCF4;RUNX1;CBFB;MYB;TPM3;NCKAP1L;GJA1;SPRED1;TPM4;JUND;F3;RGS18;RGS19;RGS1;PIP4K2A;STK10;PEA15;ETV4;ID2;ASCL1;AXL
Leishmania infection R-HSA-9658195	2.36049980746049e-09	6.39936285066018	20/99	4.47483320642867e-07	GNG11;GNAI2;GNG2;CREB1;GNB2;JUN;NFKB1;RELA;MAPK3;MAPK1;FCGR3A;APP;FCGR2A;HCK;ARPC5;ARPC3;ARPC2;NFKB2;C3AR1;NCKAP1L
MyD88:MAL(TIRAP) cascade initiated on plasma membrane R-HSA-166058	2.2886417588818e-09	6.83077459842211	19/89	4.47483320642867e-07	CREB1;BTRC;TP53;JUN;NFKB1;NFKBIB;NFKBIA;RELA;RPS6KA3;MAPK3;MAPK1;FOS;ATF2;S100A9;CD36;S100A8;APP;MAPK7;NFKB2
Parasitic Infection Pathways R-HSA-9824443	2.36049980746049e-09	6.39936285066018	20/99	4.47483320642867e-07	GNG11;GNAI2;GNG2;CREB1;GNB2;JUN;NFKB1;RELA;MAPK3;MAPK1;FCGR3A;APP;FCGR2A;HCK;ARPC5;ARPC3;ARPC2;NFKB2;C3AR1;NCKAP1L
Toll Like Receptor 2 (TLR2) Cascade R-HSA-181438	2.2886417588818e-09	6.83077459842211	19/89	4.47483320642867e-07	CREB1;BTRC;TP53;JUN;NFKB1;NFKBIB;NFKBIA;RELA;RPS6KA3;MAPK3;MAPK1;FOS;ATF2;S100A9;CD36;S100A8;APP;MAPK7;NFKB2
