p.value	odds_ratio	overlap	adj_p.value	genes
Extracellular matrix organization R-HSA-1474244	1.67434300603353e-36	20.0267724066462	48/133	4.44370633801299e-33	DCN;VCAN;MMP7;MMP2;MMP14;ITGB1;COL1A2;COL3A1;COL1A1;TGFB1;COL4A5;COL4A2;COL4A1;COL4A4;BMP1;COL4A3;LAMC2;LOX;COL11A1;LOXL1;COL6A3;COL15A1;COL14A1;SERPINH1;ITGA9;ITGA3;SPARC;CD47;CD44;P3H1;CRTAP;ADAMTS2;COL16A1;PPIB;LUM;VWF;FBN1;ITGA8;LAMA2;TGFB3;TGFB2;ASPN;EFEMP1;MFAP4;EFEMP2;MFAP2;DMD;LAMC3
Collagen formation R-HSA-1474290	1.02525494851333e-21	30.5157183333781	23/45	1.36051331667719e-18	MMP7;COL1A2;COL3A1;COL1A1;COL4A5;COL4A2;COL4A1;COL4A4;BMP1;COL4A3;LAMC2;LOX;COL11A1;LOXL1;COL6A3;COL15A1;COL14A1;SERPINH1;P3H1;CRTAP;ADAMTS2;COL16A1;PPIB
Collagen biosynthesis and modifying enzymes R-HSA-1650814	3.84844474461698e-20	44.9455010293494	19/31	2.55344308805337e-17	COL1A2;COL3A1;COL1A1;COL4A5;COL4A2;COL4A1;COL4A4;BMP1;COL4A3;COL11A1;COL6A3;COL15A1;COL14A1;SERPINH1;P3H1;CRTAP;ADAMTS2;COL16A1;PPIB
ECM proteoglycans R-HSA-3000178	3.24712298202885e-20	31.799502857977	21/40	2.55344308805337e-17	DCN;VCAN;ITGB1;COL1A2;COL3A1;COL1A1;TGFB1;COL4A5;COL4A2;COL4A1;COL4A4;COL4A3;COL6A3;ITGA9;SPARC;LUM;ITGA8;LAMA2;TGFB3;TGFB2;ASPN
Degradation of the extracellular matrix R-HSA-1474228	1.03164805539683e-15	15.4367225016421	21/60	5.47598787804637e-13	DCN;MMP7;MMP2;MMP14;COL1A2;COL3A1;COL1A1;COL4A5;COL4A2;COL4A1;COL4A4;BMP1;COL4A3;LAMC2;COL11A1;COL6A3;COL15A1;COL14A1;CD44;COL16A1;FBN1
Assembly of collagen fibrils and other multimeric structures R-HSA-2022090	4.98637777984713e-15	22.6250210068044	17/38	1.8905495182449e-12	MMP7;COL1A2;COL3A1;COL1A1;COL4A5;COL4A2;COL4A1;COL4A4;BMP1;COL4A3;LAMC2;LOX;COL11A1;LOXL1;COL6A3;COL15A1;COL14A1
Integrin cell surface interactions R-HSA-216083	4.45218871432447e-15	17.3455175556237	19/50	1.8905495182449e-12	ITGB1;COL1A2;COL3A1;COL1A1;COL4A5;COL4A2;COL4A1;COL4A4;COL4A3;COL6A3;ITGA9;ITGA3;CD47;CD44;COL16A1;LUM;VWF;FBN1;ITGA8
Collagen degradation R-HSA-1442490	1.21909986216471e-14	24.6792868843389	16/34	4.04436379273143e-12	MMP7;MMP2;MMP14;COL1A2;COL3A1;COL1A1;COL4A5;COL4A2;COL4A1;COL4A4;COL4A3;COL11A1;COL6A3;COL15A1;COL14A1;COL16A1
Collagen chain trimerization R-HSA-8948216	8.63339523725708e-14	39.3018101485382	13/22	2.54589232885337e-11	COL1A2;COL3A1;COL1A1;COL4A5;COL4A2;COL4A1;COL4A4;COL4A3;COL11A1;COL6A3;COL15A1;COL14A1;COL16A1
Non-integrin membrane-ECM interactions R-HSA-3000171	1.64814905845381e-13	22.9747420288467	15/33	4.37418760113641e-11	ITGB1;COL1A2;COL3A1;COL1A1;TGFB1;COL4A5;COL4A2;COL4A1;COL4A4;COL4A3;LAMC2;COL11A1;LAMA2;DMD;LAMC3
Elastic fibre formation R-HSA-1566948	3.06024140812271e-12	32.4555561229311	12/22	7.38352790650697e-10	ITGB1;TGFB1;LOX;LOXL1;FBN1;ITGA8;TGFB3;TGFB2;EFEMP1;MFAP4;EFEMP2;MFAP2
Crosslinking of collagen fibrils R-HSA-2243919	4.508418568381e-12	66.6556760752451	10/14	9.97111906706931e-10	COL1A2;COL1A1;COL4A5;COL4A2;COL4A1;COL4A4;BMP1;COL4A3;LOX;LOXL1
Laminin interactions R-HSA-3000157	7.92853117897811e-11	38.0914179342516	10/17	1.50302298207199e-08	ITGB1;COL4A5;COL4A2;COL4A1;COL4A4;COL4A3;LAMC2;ITGA3;LAMA2;LAMC3
Molecules associated with elastic fibres R-HSA-2129379	7.92853117897811e-11	38.0914179342516	10/17	1.50302298207199e-08	ITGB1;TGFB1;FBN1;ITGA8;TGFB3;TGFB2;EFEMP1;MFAP4;EFEMP2;MFAP2
