p.value	odds_ratio	overlap	adj_p.value	genes
NCAM signaling for neurite out-growth R-HSA-375165	3.18106012708851e-09	14.0043658678627	12/33	4.22126678864645e-06	CREB1;MAPK3;MAPK1;COL3A1;COL4A5;COL4A4;COL4A3;ST8SIA4;COL5A2;COL6A3;COL5A1;NCAM1
Non-integrin membrane-ECM interactions R-HSA-3000171	3.18106012708851e-09	14.0043658678627	12/33	4.22126678864645e-06	SDC3;ITGB1;COL1A2;COL3A1;COL1A1;COL4A5;COL4A4;COL4A3;LAMC2;COL5A2;COL5A1;DDR2
Integrin cell surface interactions R-HSA-216083	7.31975515054245e-09	9.61738472335086	14/50	5.337085658275e-06	ITGB1;ITGA4;COL1A2;COL3A1;COL1A1;ITGB7;COL4A5;COL4A4;COL4A3;COL5A2;COL6A3;COL5A1;CD44;VWF
NGF-stimulated transcription R-HSA-9031628	1.00547958897419e-08	12.2413078618563	12/36	5.337085658275e-06	CREB1;EGR2;FOS;ATF2;SRF;ID1;EGR1;TCF12;ID4;JUND;ID2;ASCL1
Signaling by Receptor Tyrosine Kinases R-HSA-9006934	8.73016371219921e-09	3.46343621009799	37/327	5.337085658275e-06	CREB1;RAC1;EGR2;MMP9;PRKCB;MAPK3;MAPK1;FOS;ATF2;NCF4;ITGB1;COL1A2;COL3A1;COL1A1;COL4A5;COL4A4;COL4A3;LAMC2;STAT3;COL5A2;COL6A3;COL5A1;CXCL12;SRF;ID1;EGR1;STAT5A;JAK3;IL2RG;DNMT1;THBS2;TCF12;ID4;PLAT;JUND;ID2;ASCL1
Nuclear Events (kinase and transcription factor activation) R-HSA-198725	1.28313232137227e-08	9.10725503989162	14/52	5.67572196820334e-06	CREB1;EGR2;MAPK3;MAPK1;FOS;ATF2;SRF;ID1;EGR1;TCF12;ID4;JUND;ID2;ASCL1
Assembly of collagen fibrils and other multimeric structures R-HSA-2022090	2.02141780759382e-08	11.2951455225828	12/38	6.7060535766925e-06	MMP9;COL1A2;COL3A1;COL1A1;COL4A5;COL4A4;COL4A3;LAMC2;COL5A2;COL6A3;CD151;COL5A1
Signal Transduction R-HSA-162582	1.77806549934758e-08	2.42919088791503	89/1306	6.7060535766925e-06	ADCY3;ADCY7;ADCY4;GNAI2;CREB1;CCND3;RAC1;JUN;EGR2;MMP9;NFKB1;PRKCB;RELA;MAPK3;MAPK1;RASGRP1;SP1;FOS;ATF2;NCF4;CD86;SYK;ITGB1;COL1A2;BTK;COL3A1;COL1A1;PRKG1;SNAI1;SMAD4;SMAD1;VIM;COL4A5;COL4A4;COL4A3;LAMC2;CCR2;STAT3;COL5A2;COL6A3;COL5A1;PARD6A;PRICKLE1;CXCL12;NCAM1;ARPC2;TCF7L2;CCR5;ABR;WIPF1;ARHGAP30;DOCK10;TAGAP;DOCK8;PREX1;SRF;ID1;CCL19;CCL21;CCL5;HES1;EGR1;SMAD3;STAT5A;JAK3;IL2RG;DNMT1;SRY;SOX9;THBS2;VWF;SMAD2;TCF12;TCF4;RUNX1;CBFB;MYB;ID4;DOCK2;PLAT;PMEPA1;JUND;RGS4;RGS1;RGS2;ID2;ASCL1;SH3BP1;ARHGAP25
ECM proteoglycans R-HSA-3000178	3.87678185662341e-08	10.4841797974129	12/40	1.02889790474785e-05	VCAN;ITGB1;COL1A2;COL3A1;COL1A1;COL4A5;COL4A4;COL4A3;COL5A2;COL6A3;COL5A1;NCAM1
NCAM1 interactions R-HSA-419037	3.55782328238599e-08	19.708442041033	9/20	1.02889790474785e-05	COL3A1;COL4A5;COL4A4;COL4A3;ST8SIA4;COL5A2;COL6A3;COL5A1;NCAM1
Extracellular matrix organization R-HSA-1474244	8.26151585766305e-08	4.7636017673194	21/133	1.99327846238525e-05	SDC3;VCAN;MMP9;ITGB1;ITGA4;COL1A2;COL3A1;COL1A1;ITGB7;COL4A5;COL4A4;COL4A3;LAMC2;COL5A2;COL6A3;CD151;COL5A1;NCAM1;CD44;VWF;DDR2
Collagen chain trimerization R-HSA-8948216	9.79934757528316e-08	16.67183747311	9/22	2.16728903873346e-05	COL1A2;COL3A1;COL1A1;COL4A5;COL4A4;COL4A3;COL5A2;COL6A3;COL5A1
Collagen formation R-HSA-1474290	1.66200660283538e-07	8.8863771859038	12/45	3.39305040301931e-05	MMP9;COL1A2;COL3A1;COL1A1;COL4A5;COL4A4;COL4A3;LAMC2;COL5A2;COL6A3;CD151;COL5A1
RUNX2 regulates bone development R-HSA-8941326	2.39565293387375e-07	14.4490918758039	9/24	4.54147349035781e-05	MAPK3;MAPK1;COL1A1;SMAD4;SMAD1;HES1;CBFB;RUNX2;SP7
Leishmania infection R-HSA-9658195	4.51834390223937e-07	5.16908101916618	17/99	7.49480294783956e-05	ADCY3;ADCY7;ADCY4;GNAI2;CREB1;RAC1;JUN;NFKB1;RELA;MAPK3;MAPK1;SYK;BTK;IL10;ARPC2;NFKB2;WIPF1
Parasitic Infection Pathways R-HSA-9824443	4.51834390223937e-07	5.16908101916618	17/99	7.49480294783956e-05	ADCY3;ADCY7;ADCY4;GNAI2;CREB1;RAC1;JUN;NFKB1;RELA;MAPK3;MAPK1;SYK;BTK;IL10;ARPC2;NFKB2;WIPF1
