p.value	odds_ratio	overlap	adj_p.value	genes
Cell Cycle, Mitotic R-HSA-69278	2.98436950799047e-09	4.10836079628885	32/341	7.92051667420671e-06	BUB3;CDK1;PTTG1;CCNA2;MAPRE1;CEP78;E2F3;TFDP1;E2F1;H2BC13;H2BC17;H3C1;H2BC12;H2AC8;H2BC14;MCM6;CDC45;CDC6;CDC7;MCM3;MCM4;KIF2A;RCC2;NSL1;ZWINT;NDEL1;BUB1;WAPL;NCAPG;E2F5;TOP2A;E2F4
Cell Cycle R-HSA-1640170	1.5029816388203e-07	3.39354231347352	32/400	0.000122812039891069	BUB3;CDK1;PTTG1;CCNA2;MAPRE1;CEP78;E2F3;TFDP1;E2F1;H2BC13;H2BC17;H3C1;H2BC12;H2AC8;H2BC14;MCM6;CDC45;CDC6;CDC7;MCM3;MCM4;KIF2A;RCC2;NSL1;ZWINT;NDEL1;BUB1;WAPL;NCAPG;E2F5;TOP2A;E2F4
G0 and Early G1 R-HSA-1538133	1.30555502623504e-07	19.3591504495907	8/22	0.000122812039891069	CDK1;CCNA2;TFDP1;E2F1;CDC6;E2F5;TOP2A;E2F4
G1/S-Specific Transcription R-HSA-69205	1.85097271878024e-07	26.118321293073	7/16	0.000122812039891069	CDK1;TFDP1;E2F1;CDC45;CDC6;E2F5;E2F4
Cell Cycle Checkpoints R-HSA-69620	3.00139595292582e-07	4.56105383932003	20/180	0.000159314097181303	BUB3;CDK1;CCNA2;MAPRE1;H2BC13;H2BC17;H2BC12;H2BC14;MCM6;CDC45;CDC6;CDC7;MCM3;MCM4;KIF2A;RCC2;NSL1;ZWINT;NDEL1;BUB1
Activation of ATR in response to replication stress R-HSA-176187	5.57952775808097e-07	33.3006662688286	6/12	0.00021154380957067	MCM6;CDC45;CDC6;CDC7;MCM3;MCM4
Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1 R-HSA-1362300	5.57952775808097e-07	33.3006662688286	6/12	0.00021154380957067	CDK1;CCNA2;TFDP1;E2F1;E2F5;E2F4
Activation of the pre-replicative complex R-HSA-68962	1.72457880920851e-06	24.9978633730032	6/14	0.000508559128848821	MCM6;CDC45;CDC6;CDC7;MCM3;MCM4
Transcription of E2F targets under negative control by DREAM complex R-HSA-1362277	1.72457880920851e-06	24.9978633730032	6/14	0.000508559128848821	TFDP1;E2F1;CDC6;E2F5;TOP2A;E2F4
Peptide ligand-binding receptors R-HSA-375276	2.92805271485765e-06	7.02372621766991	11/65	0.00077710519052322	CXCL8;C3;CCR5;CCL4;CXCR3;CXCL9;CXCL11;CXCL10;FPR3;GHRL;ANXA1
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal R-HSA-141444	4.27760931956069e-06	10.8209754478517	8/33	0.000946064594509506	BUB3;MAPRE1;KIF2A;RCC2;NSL1;ZWINT;NDEL1;BUB1
Amplification of signal from the kinetochores R-HSA-141424	4.27760931956069e-06	10.8209754478517	8/33	0.000946064594509506	BUB3;MAPRE1;KIF2A;RCC2;NSL1;ZWINT;NDEL1;BUB1
Mitotic G1 phase and G1/S transition R-HSA-453279	5.92326086639464e-06	4.95491289057581	14/113	0.00120925648764703	CDK1;CCNA2;E2F3;TFDP1;E2F1;MCM6;CDC45;CDC6;CDC7;MCM3;MCM4;E2F5;TOP2A;E2F4
Unwinding of DNA R-HSA-176974	1.16685907439292e-05	65.4545171365919	4/6	0.00221203141674201	MCM6;CDC45;MCM3;MCM4
Resolution of Sister Chromatid Cohesion R-HSA-2500257	1.53310705465242e-05	6.45136769062594	10/63	0.00271257741536501	BUB3;CDK1;MAPRE1;KIF2A;RCC2;NSL1;ZWINT;NDEL1;BUB1;WAPL
