p.value	odds_ratio	overlap	adj_p.value	genes
Circadian Clock R-HSA-400253	2.34782949738042e-09	11.7432229779282	13/52	6.23113948604763e-06	HDAC3;SREBF1;KLF15;CLOCK;NPAS2;BHLHE41;SIRT1;NR1D1;NR3C1;NRIP1;RORA;PER2;CRY2
Generic Transcription Pathway R-HSA-212436	1.03844588415634e-06	2.74474220044676	41/645	0.00137801768827546	FOXO4;FOXO1;FOXO3;PRKAG2;CEBPB;CCND3;H2BC15;BID;CDC7;RARG;HDAC3;SP1;SREBF1;FOS;TFAP2A;SMAD4;EGFR;RUNX3;HEY1;TXNIP;SIRT1;PGR;NR1D1;NR3C1;RORA;ESR1;MAMLD1;HES1;MAML3;RORC;PML;SOX2;GATA3;RUNX1;TCF3;CBFB;SPI1;NR2C1;PRELID1;ELF1;ATAD2
Nuclear Receptor transcription pathway R-HSA-383280	4.27760931956069e-06	10.8209754478517	8/33	0.00283819378352852	RARG;PGR;NR1D1;NR3C1;RORA;ESR1;RORC;NR2C1
Signal Transduction R-HSA-162582	3.30780623592223e-06	2.33928166316794	64/1306	0.00283819378352852	ADCY1;ADCY3;GNAI2;GNG2;P2RY12;FOXO4;FOXO1;FOXO3;PRKAG2;E2F3;CCND3;PRKCA;GAB1;H2BC15;DLG3;RARG;HDAC3;SP1;SREBF1;FOS;ITGAV;SMAD4;RHOB;EGFR;ABL2;SPARC;RUNX3;ABR;STARD8;IQGAP1;PDE1A;ATP2A1;HEY1;NET1;C3AR1;PGR;NR3C1;NRIP1;CCRL2;EDNRB;EDNRA;GPR17;CMKLR1;TRIP10;ERBB3;ESR1;MAMLD1;HES1;MAML3;PML;SOX2;GATA3;PDE4D;RUNX1;CBFB;ID4;TPM3;TPM4;RGS18;PDE3B;ADCY10;MYLK;ID2;AXL
Regulation of FOXO transcriptional activity by acetylation R-HSA-9617629	5.35465776616894e-06	33.0334843134711	5/10	0.00284225234228247	FOXO4;FOXO1;FOXO3;TXNIP;SIRT1
Gene expression (Transcription) R-HSA-74160	8.25342699811387e-06	2.42985034691795	44/775	0.00365076587549903	FOXO4;FOXO1;FOXO3;PRKAG2;CEBPB;CCND3;H2BC15;BID;CDC7;RARG;HDAC3;SP1;SREBF1;FOS;TFAP2A;SMAD4;EGFR;SMARCA5;RUNX3;HEY1;TXNIP;SIRT1;PGR;NR1D1;NR3C1;RORA;ESR1;MAMLD1;HES1;MAML3;RORC;PML;SOX2;GATA3;DNMT3B;RUNX1;TCF3;CBFB;SPI1;PLD6;NR2C1;PRELID1;ELF1;ATAD2
RNA Polymerase II Transcription R-HSA-73857	1.0453241933083e-05	2.45623997456647	41/704	0.00396327201291461	FOXO4;FOXO1;FOXO3;PRKAG2;CEBPB;CCND3;H2BC15;BID;CDC7;RARG;HDAC3;SP1;SREBF1;FOS;TFAP2A;SMAD4;EGFR;RUNX3;HEY1;TXNIP;SIRT1;PGR;NR1D1;NR3C1;RORA;ESR1;MAMLD1;HES1;MAML3;RORC;PML;SOX2;GATA3;RUNX1;TCF3;CBFB;SPI1;NR2C1;PRELID1;ELF1;ATAD2
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes R-HSA-9615017	2.61496775065684e-05	13.3248741738604	6/21	0.00767719708943831	FOXO4;FOXO1;FOXO3;SREBF1;SMAD4;NR3C1
RUNX3 regulates RUNX1-mediated transcription R-HSA-8951911	2.74750894486432e-05	Inf	3/3	0.00767719708943831	RUNX3;RUNX1;CBFB
Signaling by GPCR R-HSA-372790	2.8926891821546e-05	3.24934624251703	20/241	0.00767719708943831	ADCY1;ADCY3;GNAI2;GNG2;P2RY12;PRKCA;RHOB;EGFR;ABR;PDE1A;NET1;C3AR1;CCRL2;EDNRB;EDNRA;GPR17;CMKLR1;PDE4D;RGS18;PDE3B
