p.value	odds_ratio	overlap	adj_p.value	genes
Muscle contraction R-HSA-397014	7.05825851799792e-24	16.9751781498385	32/97	1.87326181067665e-20	CAMK2D;STIM1;CACNB2;VIM;CACNB1;MYL12A;SRI;ATP2B4;ASPH;ATP2B2;ATP2A1;RYR1;TRDN;CACNG8;CACNG6;SLN;SLC8A1;NKX2-5;ACTN3;TPM3;TTN;MYL11;TNNT1;MYL3;MYL1;CAV3;LMOD1;TPM1;ACTA1;TCAP;TNNC1;TNNI2
Cardiac conduction R-HSA-5576891	6.42468131400168e-12	13.8866375333077	16/51	8.52555210368023e-09	CAMK2D;STIM1;CACNB2;CACNB1;SRI;ATP2B4;ASPH;ATP2B2;ATP2A1;RYR1;TRDN;CACNG8;CACNG6;SLN;SLC8A1;NKX2-5
Striated Muscle Contraction R-HSA-390522	4.51731303802118e-11	22.1770303539107	12/28	3.99631626763607e-08	VIM;ACTN3;TPM3;TTN;TNNT1;MYL3;MYL1;TPM1;ACTA1;TCAP;TNNC1;TNNI2
Ion homeostasis R-HSA-5578775	5.91466720468454e-10	20.1789823382551	11/27	3.92438169030819e-07	CAMK2D;STIM1;SRI;ATP2B4;ASPH;ATP2B2;ATP2A1;RYR1;TRDN;SLN;SLC8A1
Nuclear Events (kinase and transcription factor activation) R-HSA-198725	1.52152615815302e-08	9.8866859829875	13/52	8.07626084747623e-06	EGR2;RPS6KA1;FOS;ATF2;MAPK7;SRF;MEF2C;MEF2D;EGR1;MEF2A;TCF12;ASCL1;FOSL1
Cardiogenesis R-HSA-9733709	6.52705418056148e-08	22.9880789121394	8/18	2.47468597074431e-05	FOXO4;SMAD4;SMAD1;NKX2-5;MYOCD;SRF;MEF2C;TBX20
Developmental Biology R-HSA-1266738	5.84973793629749e-08	2.78180720108955	51/699	2.47468597074431e-05	FOXO4;FOXO1;CEBPB;DLG1;JUN;EGR2;MMP2;MMP9;NFKB1;RELA;RPS6KA1;MAPK12;TFAP2A;SNAI1;ZEB2;SMAD4;KLF4;SMAD1;CACNA1D;CACNB2;ARPC1B;ARPC5;CACNB1;ARPC3;MYL12A;MAPK7;ARPC4;ARPC1A;ARPC2;MYC;TCF7L2;CACNG8;NKX2-5;MYOCD;SRF;MEF2C;TBX20;MEF2D;PAX3;PML;NANOG;SMAD3;MEF2A;TCF12;MYOD1;RUNX1;TCF3;GATA2;TAL1;MYB;SPI1
MyD88 cascade initiated on plasma membrane R-HSA-975871	2.22208085797384e-07	6.82412478064382	14/75	5.89740259706257e-05	JUN;NFKB1;NFKBIB;NFKBIA;RELA;RPS6KA1;FOS;ATF2;MAPK7;NFKB2;MEF2C;NKIRAS2;NKIRAS1;MEF2A
Toll Like Receptor 10 (TLR10) Cascade R-HSA-168142	2.22208085797384e-07	6.82412478064382	14/75	5.89740259706257e-05	JUN;NFKB1;NFKBIB;NFKBIA;RELA;RPS6KA1;FOS;ATF2;MAPK7;NFKB2;MEF2C;NKIRAS2;NKIRAS1;MEF2A
Toll Like Receptor 5 (TLR5) Cascade R-HSA-168176	2.22208085797384e-07	6.82412478064382	14/75	5.89740259706257e-05	JUN;NFKB1;NFKBIB;NFKBIA;RELA;RPS6KA1;FOS;ATF2;MAPK7;NFKB2;MEF2C;NKIRAS2;NKIRAS1;MEF2A
