p.value	odds_ratio	overlap	adj_p.value	genes
Muscle contraction R-HSA-397014	1.54962638268348e-19	14.9569207056445	27/97	4.11270841964196e-16	AKAP9;CAMK2D;ACTN2;CACNB2;SCN3B;SCN9A;MYL9;ATP1A2;KCNK6;RYR1;TRDN;CACNG8;SLC8A1;NKX2-5;ACTN3;DMD;PDE5A;TNNT1;MYL3;DES;LMOD1;TNNT2;MYH3;TCAP;TNNT3;TPM2;ACTA2
Striated Muscle Contraction R-HSA-390522	2.37851754664357e-10	21.8822426599814	11/28	3.15629278439602e-07	ACTN2;ACTN3;DMD;TNNT1;MYL3;DES;TNNT2;MYH3;TCAP;TNNT3;TPM2
Cardiac conduction R-HSA-5576891	2.80111651428409e-08	10.4539846247452	12/51	2.47805440963666e-05	AKAP9;CAMK2D;CACNB2;SCN3B;SCN9A;ATP1A2;KCNK6;RYR1;TRDN;CACNG8;SLC8A1;NKX2-5
Transmission across Chemical Synapses R-HSA-112315	2.31231384632402e-07	5.7845832949141	16/112	0.000153422023703599	ADCY1;SYT1;PPFIA1;CHRNB4;NCALD;DLG1;KCNJ6;CAMK2D;GRIN1;GRIN3A;ACTN2;ARHGEF7;CACNB2;CACNG8;SLC6A13;HTR3B
Neuronal System R-HSA-112316	1.02903802231923e-06	4.80890925906519	17/140	0.000546213382247047	ADCY1;SYT1;PPFIA1;CHRNB4;NCALD;DLG1;KCNJ6;CAMK2D;GRIN1;GRIN3A;ACTN2;ARHGEF7;CACNB2;KCNK6;CACNG8;SLC6A13;HTR3B
SLC-mediated transmembrane transport R-HSA-425407	1.56069939017128e-05	5.75371044312135	11/75	0.00690349363585763	SLC24A1;SLC6A20;SLC8A1;SLC12A6;SLC5A1;SLC6A13;SLC13A5;SLC13A4;SLC9A4;SLC24A2;SLC24A3
Neurotransmitter receptors and postsynaptic signal transmission R-HSA-112314	2.41274274145092e-05	4.98262933426628	12/93	0.00914774176544392	ADCY1;CHRNB4;NCALD;DLG1;KCNJ6;CAMK2D;GRIN1;GRIN3A;ACTN2;ARHGEF7;CACNG8;HTR3B
Sodium/Calcium exchangers R-HSA-425561	2.92576904666128e-05	42.5894265853268	4/7	0.0097062388122988	SLC24A1;SLC8A1;SLC24A2;SLC24A3
Sensory processing of sound R-HSA-9659379	3.40191922554929e-05	9.52864753551422	7/31	0.0100318818051198	CACNA1D;CACNB2;GSN;RDX;USH1C;MYO15A;PJVK
Phase 0 - rapid depolarisation R-HSA-5576892	8.99119716489523e-05	14.6420533102466	5/16	0.0238626372756319	CAMK2D;CACNB2;SCN3B;SCN9A;CACNG8
Sensory Perception R-HSA-9709957	0.000134432301510171	5.39774249609922	9/64	0.0324348480189085	SLC24A1;CACNA1D;CACNB2;GSN;RDX;SCN9A;USH1C;MYO15A;PJVK
Cardiogenesis R-HSA-9733709	0.000167723531181961	12.3871903958355	5/18	0.0330143611619422	FOXO4;NKX2-5;MYOCD;SRF;MEF2C
Myogenesis R-HSA-525793	0.000167723531181961	12.3871903958355	5/18	0.0330143611619422	MAPK14;BOC;MEF2C;MEF2A;SPAG9
