p.value	odds_ratio	overlap	adj_p.value	genes
Activation of the pre-replicative complex R-HSA-68962	4.88693758393784e-14	100.529498490017	11/14	1.2969932347771e-10	RPA3;MCM6;MCM8;CDC45;CDC6;CDC7;MCM3;MCM4;POLE3;POLA2;POLE
DNA strand elongation R-HSA-69190	1.09097484740029e-12	90.7109069333551	10/13	1.44772362250018e-09	RPA3;MCM6;MCM8;CDC45;MCM3;MCM4;POLA2;POLD2;PCNA;GINS3
Cell Cycle R-HSA-1640170	1.90485968977747e-10	3.76681049497596	42/400	1.68516587222314e-07	CCNA2;YWHAB;TUBB4B;DYNLL1;TFDP1;E2F1;POLR2K;POLR2L;H2BC17;H3C1;H2BC12;H2AC7;H2AC8;H2BC14;H2BC3;RPA3;MCM6;MCM8;CDC45;CDC6;CDC7;MCM3;MCM4;YWHAQ;MAPK1;POLE3;POLA2;POLE;SEC13;ZWINT;SUMO1;RAB1A;POLD2;PCNA;MYC;RAN;NHP2;NOP10;GINS3;TOP2A;E2F4;CKS1B
Activation of ATR in response to replication stress R-HSA-176187	1.44727999031362e-09	53.8278639915617	8/12	9.60270273573087e-07	RPA3;MCM6;MCM8;CDC45;CDC6;CDC7;MCM3;MCM4
Unwinding of DNA R-HSA-176974	2.56107234577097e-09	Inf	6/6	1.35941720113523e-06	MCM6;MCM8;CDC45;MCM3;MCM4;GINS3
Cell Cycle, Mitotic R-HSA-69278	4.68858799169348e-09	3.6477704730153	36/341	2.07391875499242e-06	CCNA2;TUBB4B;DYNLL1;TFDP1;E2F1;H2BC17;H3C1;H2BC12;H2AC7;H2AC8;H2BC14;H2BC3;RPA3;MCM6;MCM8;CDC45;CDC6;CDC7;MCM3;MCM4;MAPK1;POLE3;POLA2;POLE;SEC13;ZWINT;SUMO1;RAB1A;POLD2;PCNA;MYC;RAN;GINS3;TOP2A;E2F4;CKS1B
Folding of actin by CCT/TriC R-HSA-390450	1.00971280325253e-08	62.3510654636312	7/10	3.34972222479027e-06	CCT8;CCT3;CCT5;CCT2;TCP1;CCT6A;CCT4
G1/S Transition R-HSA-69206	9.0557045516471e-09	6.56144517993666	18/96	3.34972222479027e-06	CCNA2;TFDP1;E2F1;RPA3;MCM6;MCM8;CDC45;CDC6;CDC7;MCM3;MCM4;POLE3;POLA2;POLE;PCNA;MYC;E2F4;CKS1B
DNA Replication R-HSA-69306	2.17229816831404e-08	4.97254037951577	22/150	5.94537099976827e-06	CCNA2;H2BC17;H3C1;H2BC12;H2AC7;H2AC8;H2BC14;H2BC3;RPA3;MCM6;MCM8;CDC45;CDC6;CDC7;MCM3;MCM4;POLE3;POLA2;POLE;POLD2;PCNA;GINS3
Mitotic G1 phase and G1/S transition R-HSA-453279	2.24015486050048e-08	5.76641512745725	19/113	5.94537099976827e-06	CCNA2;TFDP1;E2F1;RPA3;MCM6;MCM8;CDC45;CDC6;CDC7;MCM3;MCM4;POLE3;POLA2;POLE;PCNA;MYC;TOP2A;E2F4;CKS1B
