p.value	odds_ratio	overlap	adj_p.value	genes
Eukaryotic Translation Elongation R-HSA-156842	6.47941719678145e-89	202.791835222915	71/83	1.7196373240258e-85	UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;EEF1A1;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL22;RPL15;RPL26L1;RPLP2;RPL19;RPL10;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34;EEF1A2
Peptide chain elongation R-HSA-156902	2.92651722400601e-88	215.924049167112	70/81	3.88348835625597e-85	UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;EEF1A1;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL22;RPL15;RPL26L1;RPLP2;RPL19;RPL10;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Eukaryotic Translation Termination R-HSA-72764	5.7683932698632e-86	193.704660986648	69/81	3.82732893455423e-83	UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL22;RPL15;RPL26L1;RPLP2;RPL19;RPL10;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Viral mRNA Translation R-HSA-192823	5.7683932698632e-86	193.704660986648	69/81	3.82732893455423e-83	UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL22;RPL15;RPL26L1;RPLP2;RPL19;RPL10;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Translation R-HSA-72766	1.94567979428964e-85	44.1983750007707	93/181	1.03276683480894e-82	UBA52;EIF2S2;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;EIF3L;RPS27;RPS29;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;EIF3M;EEF1A1;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL22;RPL15;RPL26L1;RPLP2;RPL19;RPL10;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34;SEC11A;EEF1A2;SRP14;MRPL27;MRPL28;MRPL12;MRPL58;MRPS11;MRPL23;MRPL40;SSR2;MRPL22;MRPL43;MRPL51;AURKAIP1;MRPL47;MRPS24;MRPL41;MRPL46;MRPL11
Formation of a pool of free 40S subunits R-HSA-72689	3.56100217195297e-85	142.176037473183	71/88	1.5751499607272e-82	UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;EIF3L;RPS27;RPS29;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;EIF3M;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL22;RPL15;RPL26L1;RPLP2;RPL19;RPL10;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Selenocysteine synthesis R-HSA-2408557	2.03652803396005e-84	165.120974168074	69/83	7.72135057447139e-82	UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL22;RPL15;RPL26L1;RPLP2;RPL19;RPL10;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) R-HSA-975956	1.10810596581737e-83	154.064136939971	69/84	3.67614154159913e-81	UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL22;RPL15;RPL26L1;RPLP2;RPL19;RPL10;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
SRP-dependent cotranslational protein targeting to membrane R-HSA-1799339	2.25699593675378e-83	112.503887235343	72/94	6.65563024016059e-81	UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL22;RPL15;RPL26L1;RPLP2;RPL19;RPL10;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34;SEC11A;SRP14;SSR2
GTP hydrolysis and joining of the 60S ribosomal subunit R-HSA-72706	9.06404342745753e-83	107.37794752588	72/95	2.40559712564723e-80	UBA52;EIF2S2;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;EIF3L;RPS27;RPS29;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;EIF3M;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL22;RPL15;RPL26L1;RPLP2;RPL19;RPL10;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
